target,e_o,c_o,a_o,g_x,a_x,i_x,g_o,c_x,i_o,b_x
1,1,0,0,1,1,0,0,1,1,1
1,1,0,0,0,1,0,1,1,1,1
1,1,0,0,0,1,1,1,1,0,1
1,1,0,0,0,1,0,1,1,0,1
1,1,0,0,0,1,0,0,1,0,1
1,1,0,0,0,1,0,0,1,1,1
1,1,0,0,0,1,0,1,1,0,1
1,1,0,0,0,1,0,1,1,1,1
1,1,0,0,0,1,0,0,1,1,1
1,0,0,0,0,1,0,1,1,0,1
1,0,0,0,0,1,0,1,1,1,1
1,0,0,0,0,1,0,0,1,1,1
1,0,0,0,1,1,0,0,1,1,1
1,0,0,0,0,1,0,1,1,1,1
1,0,0,0,0,1,1,1,1,0,1
1,0,0,0,0,1,0,1,1,0,1
1,0,0,0,0,1,0,0,1,0,1
1,0,0,0,0,1,0,0,1,1,1
1,0,0,0,0,1,0,1,1,0,1
1,0,0,0,0,1,0,1,1,1,1
1,0,0,0,0,1,0,0,1,1,1
1,1,0,0,1,1,0,0,1,1,1
1,1,0,0,0,1,0,1,1,1,1
1,1,0,0,0,1,1,1,1,0,1
1,1,0,0,0,1,0,1,1,0,1
1,1,0,0,0,1,0,0,1,0,1
1,1,0,0,0,1,0,0,1,1,1
1,1,0,0,1,1,0,0,1,0,1
1,1,0,0,1,1,0,0,1,1,1
1,1,0,0,0,1,0,1,1,0,1
1,1,0,0,0,1,1,1,1,0,1
1,1,0,0,0,1,0,0,1,1,1
1,1,0,0,0,1,1,0,1,0,1
1,1,0,0,0,1,0,0,1,0,1
1,0,0,0,0,1,0,1,1,0,1
1,0,0,0,0,1,0,1,1,1,1
1,0,0,0,0,1,0,0,1,1,1
1,0,0,0,1,1,0,0,1,0,1
1,0,0,0,1,1,0,0,1,1,1
1,0,0,0,0,1,0,1,1,0,1
1,0,0,0,0,1,1,1,1,0,1
1,0,0,0,0,1,0,0,1,1,1
1,0,0,0,0,1,1,0,1,0,1
1,0,0,0,0,1,0,0,1,0,1
1,0,0,0,1,1,0,0,1,1,1
1,0,0,0,0,1,0,1,1,1,1
1,0,0,0,0,1,1,1,1,0,1
1,0,0,0,0,1,0,1,1,0,1
1,0,0,0,0,1,0,0,1,0,1
1,0,0,0,0,1,0,0,1,1,1
1,0,0,0,0,1,0,1,1,0,1
1,0,0,0,0,1,0,1,1,1,1
1,0,0,0,0,1,0,0,1,1,1
1,1,0,0,0,1,0,1,1,0,1
1,1,0,0,0,1,0,1,1,1,1
1,1,0,0,0,1,0,0,1,1,1
1,1,0,0,1,1,0,0,1,0,1
1,1,0,0,1,1,0,0,1,1,1
1,1,0,0,0,1,0,1,1,0,1
1,1,0,0,0,1,1,1,1,0,1
1,1,0,0,0,1,0,0,1,1,1
1,1,0,0,0,1,1,0,1,0,1
1,1,0,0,0,1,0,0,1,0,1
1,1,0,0,1,1,0,0,1,1,1
1,1,0,0,0,1,0,1,1,1,1
1,1,0,0,0,1,1,1,1,0,1
1,1,0,0,0,1,0,1,1,0,1
1,1,0,0,0,1,0,0,1,0,1
1,1,0,0,0,1,0,0,1,1,1
1,0,0,0,1,1,0,0,1,1,1
1,0,0,0,0,1,0,1,1,1,1
1,0,0,0,0,1,1,1,1,0,1
1,0,0,0,0,1,0,1,1,0,1
1,0,0,0,0,1,0,0,1,0,1
1,0,0,0,0,1,0,0,1,1,1
1,0,0,0,0,1,0,1,1,0,1
1,0,0,0,0,1,0,1,1,1,1
1,0,0,0,0,1,0,0,1,1,1
1,0,1,0,0,1,1,1,0,0,1
1,1,1,0,1,1,0,0,0,1,1
1,1,1,0,1,1,1,0,0,0,1
1,1,1,0,1,1,0,0,0,0,1
1,1,1,0,1,1,0,0,0,0,1
1,1,1,0,1,1,0,0,0,1,1
1,0,1,0,1,1,0,0,0,0,1
1,0,1,0,1,1,0,0,0,1,1
1,0,1,0,0,1,0,1,0,1,1
1,0,1,0,0,1,1,1,0,0,1
1,0,1,0,1,1,1,0,0,0,1
1,0,1,0,0,1,1,1,0,0,1
1,0,1,0,0,1,0,0,0,0,1
1,0,1,0,0,1,1,0,0,0,1
1,0,1,0,0,1,0,1,0,0,1
1,0,1,0,0,1,1,1,0,0,1
1,0,1,0,0,1,0,0,0,1,1
1,0,1,0,0,1,1,0,0,0,1
1,0,1,0,0,1,0,1,0,0,1
1,0,1,0,0,1,1,1,0,0,1
1,0,1,0,0,1,1,0,0,0,1
1,0,1,0,0,1,0,1,0,1,1
1,0,1,0,0,1,1,1,0,0,1
1,1,0,0,1,1,0,0,0,0,1
1,1,0,0,1,1,0,0,0,1,1
1,1,0,0,1,1,0,0,0,1,1
1,0,0,0,1,1,0,0,0,1,1
1,0,0,0,0,1,0,1,0,0,1
1,0,0,0,0,1,1,1,0,0,1
1,0,0,0,0,1,0,0,0,1,1
1,0,0,0,0,1,1,0,0,0,1
1,0,0,0,0,1,0,1,0,1,1
1,0,0,0,0,1,1,1,0,0,1
1,0,0,0,0,1,0,1,0,1,1
1,0,0,0,0,1,1,1,0,0,1
1,0,0,0,1,1,0,0,1,1,0
1,0,0,0,0,1,1,1,1,0,0
1,1,0,0,1,1,0,0,1,1,0
1,1,0,0,1,1,0,0,1,0,0
1,1,0,0,1,1,0,0,1,1,0
1,0,0,0,1,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,1,0
1,0,0,0,1,1,0,0,1,1,0
1,0,0,0,1,1,0,0,1,1,0
1,0,0,0,0,1,1,1,1,0,0
1,0,0,0,1,1,0,0,1,1,0
1,0,0,0,1,1,1,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0
1,0,0,0,0,1,1,1,1,0,0
1,0,0,0,0,1,1,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,1,0
1,0,0,0,0,1,1,1,1,0,0
1,0,0,0,0,1,1,0,1,0,0
1,1,0,0,0,1,1,1,1,0,0
1,1,0,0,0,1,1,0,1,0,0
1,0,0,0,0,1,1,1,1,0,0
1,0,0,0,0,1,1,0,1,0,0
1,0,0,0,1,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,1,0
1,0,0,0,0,1,1,1,1,0,0
1,0,0,0,0,1,1,0,1,0,0
1,0,0,0,1,1,0,0,1,1,0
1,0,0,0,0,1,1,1,1,0,0
1,1,0,0,0,1,1,1,1,0,0
1,0,0,0,0,1,1,1,1,0,0
1,0,1,0,1,1,0,0,0,1,0
1,0,1,0,0,1,0,1,0,1,0
1,0,1,0,0,1,1,1,0,0,0
1,0,1,0,0,1,0,1,0,0,0
1,0,1,0,0,1,0,0,0,0,0
1,0,1,0,0,1,0,0,0,1,0
1,0,1,0,1,1,1,0,0,0,0
1,0,1,0,1,1,0,0,0,0,0
1,0,1,0,0,1,1,1,0,0,0
1,0,1,0,0,1,1,0,0,0,0
1,0,1,0,1,1,0,0,0,0,0
1,0,1,0,1,1,0,0,0,1,0
1,0,1,0,0,1,1,1,0,0,0
1,0,1,0,0,1,1,0,0,0,0
1,1,1,0,1,1,0,0,0,1,0
1,1,1,0,1,1,0,0,0,0,0
1,1,1,0,1,1,1,0,0,0,0
1,1,1,0,1,1,0,0,0,0,0
1,1,1,0,1,1,1,0,0,0,0
1,0,1,0,1,1,0,0,0,0,0
1,0,1,0,1,1,0,0,0,1,0
1,0,1,0,1,1,0,0,0,0,0
1,0,1,0,1,1,1,0,0,0,0
1,0,1,0,1,1,0,0,0,1,0
1,0,1,0,1,1,1,0,0,0,0
1,0,1,0,1,1,0,0,0,0,0
1,0,1,0,1,1,1,0,0,0,0
1,0,1,0,0,1,1,1,0,0,0
1,0,1,0,0,1,1,0,0,0,0
1,0,1,0,1,1,1,0,0,0,0
1,0,1,0,1,1,1,0,0,0,0
1,0,1,0,0,1,1,0,0,0,0
1,1,1,0,1,1,1,0,0,0,0
1,0,1,0,1,1,1,0,0,0,0
1,0,1,0,0,1,1,1,0,0,0
1,0,1,0,0,1,1,0,0,0,0
1,0,1,0,1,1,1,0,0,0,0
1,0,1,0,0,1,1,0,0,0,0
1,0,1,0,1,1,1,0,0,0,0
1,0,1,0,0,1,1,1,0,0,0
1,0,1,0,0,1,1,0,0,0,0
1,1,1,0,1,1,1,0,0,0,0
1,0,1,0,1,1,1,0,0,0,0
1,0,0,0,0,1,0,1,0,0,0
1,0,0,0,0,1,0,1,0,1,0
1,0,0,0,0,1,0,0,0,1,0
1,0,0,0,1,1,0,0,0,0,0
1,0,0,0,1,1,0,0,0,1,0
1,0,0,0,0,1,1,1,0,0,0
1,0,0,0,0,1,1,0,0,0,0
1,0,0,0,1,1,0,0,0,1,0
1,0,0,0,0,1,1,1,0,0,0
1,1,0,0,1,1,0,0,0,1,0
1,1,0,0,1,1,0,0,0,0,0
1,1,0,0,1,1,1,0,0,0,0
1,1,0,0,1,1,0,0,0,1,0
1,1,0,0,1,1,0,0,0,0,0
1,0,0,0,1,1,0,0,0,1,0
1,0,0,0,1,1,0,0,0,1,0
1,0,0,0,1,1,1,0,0,0,0
1,0,0,0,1,1,0,0,0,0,0
1,0,0,0,1,1,0,0,0,0,0
1,0,0,0,1,1,0,0,0,1,0
1,0,0,0,0,1,1,1,0,0,0
1,0,0,0,0,1,1,0,0,0,0
1,0,0,0,1,1,1,0,0,0,0
1,0,0,0,0,1,1,0,0,0,0
1,0,0,0,1,1,1,0,0,0,0
1,0,0,0,0,1,1,1,0,0,0
1,0,0,0,0,1,1,0,0,0,0
1,1,0,0,1,1,1,0,0,0,0
1,0,0,0,1,1,1,0,0,0,0
1,0,0,0,0,1,1,1,0,0,0
1,0,0,0,1,1,1,0,0,0,0
1,0,0,0,0,1,1,1,0,0,0
1,0,0,0,0,1,1,0,0,0,0
1,0,0,0,0,1,1,1,0,0,0
1,0,0,0,0,1,1,0,0,0,0
1,1,0,0,1,1,1,0,0,0,0
1,1,0,0,1,1,0,0,1,0,0
1,1,0,0,1,1,0,0,1,1,0
1,1,0,0,1,1,0,0,1,1,0
1,0,0,0,1,1,0,0,1,1,0
1,0,0,0,1,1,0,0,1,0,0
1,0,0,0,1,1,0,0,1,1,0
1,0,0,0,0,1,1,1,1,0,0
1,0,0,0,0,1,1,0,1,0,0
1,0,0,0,1,1,0,0,1,1,0
1,0,0,0,0,1,1,1,1,0,0
1,1,0,0,0,1,1,1,1,0,0
1,1,0,0,0,1,1,0,1,0,0
1,0,0,0,0,1,1,1,1,0,0
1,0,0,0,1,1,0,0,1,1,0
1,0,0,0,0,1,1,1,1,0,0
1,1,0,0,0,1,1,1,1,0,0
1,0,1,0,0,1,0,1,0,0,0
1,0,1,0,0,1,0,1,0,1,0
1,0,1,0,0,1,0,0,0,1,0
1,0,1,0,1,1,0,0,0,0,0
1,0,1,0,0,1,1,1,0,0,0
1,0,1,0,0,1,1,0,0,0,0
1,0,1,0,1,1,0,0,0,1,0
1,0,1,0,0,1,1,1,0,0,0
1,1,1,0,1,1,0,0,0,0,0
1,1,1,0,1,1,0,0,0,1,0
1,1,1,0,1,1,0,0,0,0,0
1,1,1,0,1,1,1,0,0,0,0
1,1,1,0,1,1,0,0,0,1,0
1,1,1,0,1,1,1,0,0,0,0
1,1,1,0,1,1,0,0,0,0,0
1,0,1,0,1,1,0,0,0,1,0
1,0,1,0,1,1,1,0,0,0,0
1,0,1,0,1,1,0,0,0,0,0
1,0,1,0,1,1,0,0,0,0,0
1,0,1,0,1,1,0,0,0,1,0
1,0,1,0,0,1,1,1,0,0,0
1,0,1,0,0,1,1,0,0,0,0
1,0,1,0,1,1,1,0,0,0,0
1,0,1,0,0,1,1,0,0,0,0
1,0,1,0,1,1,1,0,0,0,0
1,0,1,0,0,1,1,1,0,0,0
1,0,1,0,0,1,1,0,0,0,0
1,1,1,0,1,1,1,0,0,0,0
1,0,1,0,1,1,1,0,0,0,0
1,0,1,0,0,1,1,1,0,0,0
1,0,1,0,1,1,1,0,0,0,0
1,0,1,0,0,1,1,1,0,0,0
1,0,1,0,0,1,1,0,0,0,0
1,0,1,0,0,1,1,1,0,0,0
1,0,1,0,0,1,1,0,0,0,0
1,1,1,0,1,1,1,0,0,0,0
1,0,0,0,1,1,0,0,0,1,0
1,0,0,0,0,1,1,1,0,0,0
1,1,0,0,1,1,0,0,0,1,0
1,1,0,0,1,1,0,0,0,1,0
1,1,0,0,1,1,1,0,0,0,0
1,1,0,0,1,1,0,0,0,0,0
1,1,0,0,1,1,0,0,0,0,0
1,1,0,0,1,1,0,0,0,1,0
1,0,0,0,1,1,0,0,0,0,0
1,0,0,0,1,1,0,0,0,1,0
1,0,0,0,1,1,0,0,0,1,0
1,0,0,0,0,1,1,1,0,0,0
1,0,0,0,1,1,1,0,0,0,0
1,0,0,0,0,1,1,1,0,0,0
1,0,0,0,0,1,1,0,0,0,0
1,0,0,0,0,1,1,1,0,0,0
1,0,0,0,0,1,1,0,0,0,0
1,0,0,0,0,1,1,1,0,0,0
1,0,0,0,0,1,1,0,0,0,0
1,0,0,0,0,1,1,1,0,0,0
1,0,0,1,1,0,0,0,1,1,1
1,0,0,1,0,0,0,1,1,1,1
1,1,0,1,0,0,1,1,1,0,1
1,0,0,1,1,0,0,0,1,1,1
1,0,0,1,1,0,0,0,1,1,1
1,0,0,1,1,0,1,0,1,0,1
1,0,0,1,1,0,0,0,1,0,1
1,0,0,1,0,0,0,0,1,0,1
1,0,0,1,1,0,0,0,1,0,1
1,0,0,1,1,0,0,0,1,1,1
1,0,0,1,0,0,0,0,1,1,1
1,1,0,1,1,0,1,0,1,0,1
1,1,0,1,0,0,1,0,1,0,1
1,0,0,1,0,0,1,0,1,0,1
1,0,0,1,1,0,0,0,1,0,1
1,0,0,1,1,0,0,0,1,1,1
1,0,0,1,0,0,0,1,1,0,1
1,0,0,1,0,0,0,0,1,1,1
1,0,0,1,1,0,0,0,1,1,1
1,0,0,1,0,0,0,1,1,1,1
1,1,0,1,0,0,1,1,1,0,1
1,1,0,1,0,0,1,0,1,0,1
1,0,0,1,0,0,1,1,1,0,1
1,0,1,1,1,0,0,0,0,1,1
1,0,1,1,0,0,0,1,0,1,1
1,0,1,1,0,0,1,1,0,0,1
1,0,1,1,0,0,0,1,0,0,1
1,0,1,1,0,0,0,0,0,0,1
1,0,1,1,0,0,0,0,0,1,1
1,0,1,1,0,0,1,1,0,0,1
1,0,1,1,0,0,0,0,0,0,1
1,0,1,1,0,0,0,1,0,0,1
1,0,1,1,0,0,0,0,0,1,1
1,1,1,1,1,0,1,0,0,0,1
1,0,1,1,1,0,0,0,0,1,1
1,0,1,1,0,0,0,0,0,0,1
1,0,1,1,1,0,1,0,0,0,1
1,0,1,1,1,0,0,0,0,0,1
1,0,1,1,0,0,1,0,0,0,1
1,1,1,1,1,0,1,0,0,0,1
1,0,1,1,1,0,1,0,0,0,1
1,0,1,1,0,0,0,1,0,0,1
1,0,1,1,0,0,0,0,0,1,1
1,0,1,1,1,0,0,0,0,0,1
1,0,1,1,0,0,1,0,0,0,1
1,0,1,1,1,0,0,0,0,1,1
1,0,1,1,0,0,1,1,0,0,1
1,0,1,1,0,0,0,0,0,0,1
1,1,1,1,1,0,1,0,0,0,1
1,0,1,1,1,0,1,0,0,0,1
1,0,0,1,0,0,0,1,0,0,1
1,0,0,1,0,0,0,1,0,1,1
1,0,0,1,0,0,0,0,0,1,1
1,0,0,1,0,0,0,1,0,0,1
1,0,0,1,0,0,0,0,0,1,1
1,0,0,1,0,0,0,1,0,1,1
1,0,0,1,0,0,0,0,0,1,1
1,0,0,1,1,0,0,0,0,0,1
1,0,0,1,0,0,1,0,0,0,1
1,0,0,1,1,0,0,0,0,1,1
1,0,0,1,0,0,0,0,0,0,1
1,1,0,1,1,0,1,0,0,0,1
1,0,0,1,1,0,1,0,0,0,1
1,0,0,1,0,0,0,1,0,1,1
1,0,0,1,1,0,0,0,0,1,1
1,0,0,1,0,0,1,1,0,0,1
1,0,0,1,0,0,0,0,0,0,1
1,0,0,1,0,0,0,1,0,0,1
1,0,0,1,0,0,0,0,0,1,1
1,1,0,1,1,0,1,0,0,0,1
1,0,0,1,1,0,0,0,1,1,0
1,0,0,1,0,0,0,1,1,1,0
1,0,0,1,0,0,1,1,1,0,0
1,0,0,1,0,0,0,1,1,0,0
1,0,0,1,0,0,0,0,1,0,0
1,0,0,1,0,0,0,0,1,1,0
1,0,0,1,1,0,0,0,1,1,0
1,0,0,1,1,0,1,0,1,0,0
1,0,0,1,1,0,0,0,1,0,0
1,0,0,1,1,0,0,0,1,0,0
1,0,0,1,1,0,0,0,1,1,0
1,1,0,1,0,0,1,1,1,0,0
1,1,0,1,0,0,1,0,1,0,0
1,1,0,1,1,0,1,0,1,0,0
1,0,0,1,0,0,1,1,1,0,0
1,0,0,1,0,0,1,0,1,0,0
1,0,0,1,1,0,0,0,1,1,0
1,0,0,1,1,0,1,0,1,0,0
1,0,0,1,1,0,0,0,1,0,0
1,0,0,1,0,0,1,0,1,0,0
1,0,0,1,1,0,1,0,1,0,0
1,0,0,1,1,0,0,0,1,0,0
1,0,0,1,1,0,1,0,1,0,0
1,1,0,1,1,0,1,0,1,0,0
1,0,0,1,1,0,1,0,1,0,0
1,0,0,1,0,0,1,0,1,0,0
1,0,0,1,1,0,1,0,1,0,0
1,0,0,1,1,0,0,0,1,0,0
1,0,0,1,1,0,0,0,1,1,0
1,0,0,1,0,0,1,1,1,0,0
1,0,0,1,0,0,1,0,1,0,0
1,0,0,1,1,0,0,0,1,0,0
1,0,0,1,1,0,1,0,1,0,0
1,0,0,1,1,0,0,0,1,1,0
1,0,0,1,1,0,1,0,1,0,0
1,0,0,1,1,0,0,0,1,0,0
1,1,0,1,1,0,1,0,1,0,0
1,1,0,1,0,0,1,0,1,0,0
1,1,0,1,1,0,1,0,1,0,0
1,0,0,1,1,0,1,0,1,0,0
1,0,0,1,0,0,1,1,1,0,0
1,0,0,1,0,0,1,0,1,0,0
1,0,0,1,1,0,1,0,1,0,0
1,0,0,1,1,0,0,0,0,0,0
1,0,0,1,1,0,0,0,0,1,0
1,0,0,1,0,0,0,1,0,0,0
1,0,0,1,0,0,1,1,0,0,0
1,0,0,1,0,0,0,0,0,1,0
1,0,0,1,0,0,1,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0
1,1,0,1,1,0,1,0,0,0,0
1,0,0,1,1,0,1,0,0,0,0
1,0,0,1,1,0,1,0,0,0,0
1,0,0,1,1,0,1,0,0,0,0
1,0,0,1,1,0,1,0,0,0,0
1,1,0,1,1,0,1,0,0,0,0
1,0,0,1,1,0,1,0,0,0,0
1,0,0,1,0,0,0,1,1,0,0
1,0,0,1,0,0,0,1,1,1,0
1,0,0,1,0,0,0,0,1,1,0
1,0,0,1,1,0,0,0,1,0,0
1,0,0,1,1,0,0,0,1,1,0
1,0,0,1,1,0,0,0,1,1,0
1,1,0,1,0,0,1,1,1,0,0
1,1,0,1,0,0,1,0,1,0,0
1,0,0,1,0,0,1,1,1,0,0
1,0,0,1,1,0,0,0,1,0,0
1,0,0,1,1,0,0,0,1,1,0
1,0,0,1,0,0,1,0,1,0,0
1,0,0,1,1,0,0,0,1,0,0
1,0,0,1,1,0,1,0,1,0,0
1,0,0,1,1,0,0,0,1,1,0
1,0,0,1,1,0,1,0,1,0,0
1,0,0,1,1,0,0,0,1,0,0
1,1,0,1,1,0,1,0,1,0,0
1,1,0,1,0,0,1,0,1,0,0
1,1,0,1,1,0,1,0,1,0,0
1,0,0,1,1,0,1,0,1,0,0
1,0,0,1,0,0,1,0,1,0,0
1,0,0,1,1,0,1,0,1,0,0
1,0,0,1,1,0,0,0,1,1,0
1,0,0,1,0,0,1,1,1,0,0
1,0,0,1,1,0,0,0,1,1,0
1,0,0,1,1,0,1,0,1,0,0
1,0,0,1,1,0,0,0,1,0,0
1,0,0,1,1,0,0,0,1,0,0
1,0,0,1,1,0,0,0,1,1,0
1,1,0,1,1,0,1,0,1,0,0
1,1,0,1,0,0,1,1,1,0,0
1,1,0,1,0,0,1,0,1,0,0
1,1,0,1,1,0,1,0,1,0,0
1,0,0,1,0,0,1,1,1,0,0
1,0,0,1,0,0,1,0,1,0,0
1,0,1,1,1,0,0,0,0,0,0
1,0,1,1,1,0,0,0,0,1,0
1,0,1,1,0,0,0,1,0,0,0
1,0,1,1,0,0,1,1,0,0,0
1,0,1,1,0,0,0,0,0,1,0
1,0,1,1,0,0,1,0,0,0,0
1,0,1,1,0,0,0,0,0,0,0
1,1,1,1,1,0,1,0,0,0,0
1,0,1,1,1,0,1,0,0,0,0
1,0,1,1,1,0,1,0,0,0,0
1,0,1,1,1,0,1,0,0,0,0
1,0,1,1,1,0,1,0,0,0,0
1,1,1,1,1,0,1,0,0,0,0
1,0,1,1,1,0,1,0,0,0,0
1,0,0,1,1,0,0,0,0,1,0
1,0,0,1,0,0,0,1,0,1,0
1,0,0,1,0,0,1,1,0,0,0
1,0,0,1,0,0,0,1,0,0,0
1,0,0,1,0,0,0,0,0,0,0
